id,Duration (in seconds),Q1.2,Q2.1,Q2.2,Q2.3,F4_1,F4_2,F4_3,F4_4,F4_5,Q2.5,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.2_8,Q3.2_9,Q3.3,Q4.1,Q4.1_11_TEXT,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_8,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.3_6,Q4.3_7,Q4.3_8,Q4.3_9,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.4_6,Q4.4_7,Q4.4_8,Q4.4_9,Q4.4_10,Q4.4_11,Q4.4_12,Q4.4_13,Q4.4_14,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_8,Q4.6_9,Q4.6_10,Q4.6_11,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.7_6,Q4.7_7,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q4.9_1,Q4.9_2,Q4.9_3,Q4.9_4,Q4.9_5,Q4.9_6,Q4.9_7,Q4.9_8,Q4.9_9,Q4.9_10,Q4.9_11,Q4.10_1,Q4.10_2,Q4.10_3,Q4.10_4,Q4.10_5,Q4.10_6,Q4.11_1,Q4.11_2,Q4.11_3,Q4.11_4,Q4.11_5,Q4.11_6,Q4.11_7,Q4.11_8,Q4.11_9,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q5.1_8,Q5.1_9,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.2_7,Q5.2_8,Q5.2_9,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.3_7,Q5.3_8,Q5.3_9,Q9.1,sex,age,pref
11,545,1,5,1,7,0,0,0,0,0,4,3,1,3,3,3,3,3,2,1,1,1,1,3,,,,,,,,1,,,1,,3,3,7,9,9,4,7,7,3,1,4,4,4,2,2,2,4,70,50,30,30,70,10,60,,100,80,30,70,60,40,5,4,5,3,4,5,3,5,5,5,4,3,3,1,4,3,1,2,5,4,5,4,4,6,5,4,3,3,5,4,4,5,4,5,3,4,1,4,3,3,5,5,6,6,3,4,6,5,6,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,29,3
12,301,1,2,6,99,0,0,0,0,0,99,3,3,3,3,3,3,3,99,3,3,3,3,3,,,,,,,,,1,,88,,5,5,5,5,5,5,5,5,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,1,2,44,36
13,340,1,2,1,5,2,0,0,0,2,2,3,2,88,3,3,3,3,3,3,3,99,3,3,,,,,,,,1,,,12,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,1,2,79,46
14,546,1,5,1,11,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,1,,,,,,1,,6,6,4,6,3,5,5,5,3,4,3,4,3,3,2,2,4,50,50,40,50,50,50,50,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,5,4,4,3,4,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,63,13
15,475,1,4,1,3,0,0,0,0,0,2,3,1,3,3,3,3,3,1,3,1,1,3,3,1,,,,1,,1,,,1,99,,,7,3,,,,,,3,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,1,2,3,2,2,4,3,3,5,4,5,4,3,88,2,3,3,88,,,,,,88,88,88,99,3,88,4,88,6,88,5,88,99,88,88,88,99,99,88,99,4,1,99,99,5,99,,,,,,,,,,7,7,7,7,7,7,7,7,7,,,,,,,,,,1,2,29,21
16,624,1,3,3,4,0,0,0,0,0,1,3,1,3,3,3,3,3,1,3,3,1,1,3,,,,,,,,1,,,1,,,8,10,10,7,7,10,10,4,1,2,1,4,3,1,1,4,80,0,70,0,0,55,0,80,75,75,30,20,0,0,3,3,3,4,3,4,4,3,5,4,4,4,5,4,4,5,3,2,2,4,3,2,2,2,2,2,4,2,3,2,3,5,4,4,2,4,4,4,4,3,4,5,5,4,4,4,5,6,5,,,,,,,,,,,,,,,,,,,2,3,1,2,2,2,2,2,1,1,1,46,13
17,594,1,4,1,8,0,0,0,0,0,1,1,3,1,3,3,1,3,2,3,2,2,1,3,,,,1,,,,,,,3,,5,8,3,7,0,5,4,7,3,4,1,2,4,3,5,3,4,50,10,0,50,50,90,50,50,50,50,50,40,40,50,3,5,3,3,3,3,4,3,5,4,4,4,4,4,5,5,4,2,4,6,4,4,4,3,4,3,4,4,88,88,3,5,4,4,88,88,88,88,88,88,5,4,6,4,3,3,4,88,3,,,,,,,,,,4,3,4,2,2,2,4,4,1,,,,,,,,,,1,1,46,34
18,467,1,4,1,9,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,3,3,1,1,3,3,3,3,4,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,5,88,88,88,88,88,88,88,88,2,,,,,,88,88,88,88,88,88,88,88,6,88,88,88,88,88,88,88,88,6,6,6,88,6,88,6,88,6,,,,,,,,,,6,6,6,6,6,6,6,6,1,,,,,,,,,,1,1,39,13
19,696,1,2,2,5,0,0,0,0,0,3,1,3,3,1,3,1,3,2,3,3,1,3,88,,,,,,,,1,,,12,,,,,,,,,,3,4,3,3,3,3,3,3,4,0,,,,,,,81,,,30,,,,88,2,5,4,6,,4,,6,2,5,5,4,4,3,4,4,2,6,6,6,6,5,3,4,4,4,5,5,3,1,5,4,5,3,5,4,6,4,4,5,5,6,3,5,5,5,3,5,,,,,,,,,,,,,,,,,,,2,3,2,3,2,2,3,2,3,1,1,45,47
20,460,1,4,1,10,1,0,0,0,0,1,3,3,3,3,3,88,3,3,3,3,88,3,3,,,,,,,,1,,,12,,5,5,5,5,5,5,5,5,5,88,88,88,88,5,88,5,4,49,50,50,50,50,55,50,50,50,48,47,52,50,50,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,4,4,4,4,4,4,4,4,3,2,2,2,4,4,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,28,13
21,378,1,99,99,99,99,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,1,,99,,,,,,,,,,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,5,6,99,4,5,1,3,5,2,,1,7,5,2,7,7,6,,,,,,,,,,,,,,,,,,,1,1,51,33
22,368,1,1,6,99,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,3,3,2,2,4,3,4,3,4,,,,,,,,,,,,,,,2,2,5,2,3,3,2,1,1,1,1,88,88,88,88,88,88,88,,,,,,2,2,5,3,3,3,2,2,1,1,1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,1,41,28
23,621,1,4,2,7,0,0,0,0,0,2,3,3,3,2,3,1,3,1,3,3,3,3,3,,,,,,,,,1,,12,,,6,6,4,4,4,4,,2,2,2,3,2,2,4,5,4,,,,,,,,58,59,54,,,,,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,2,5,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,2,5,5,5,5,5,3,5,4,5,,,,,,,,,,,,,,,,,,,3,2,1,2,3,1,2,2,1,1,1,46,23
24,795,1,4,10,99,0,0,0,0,0,3,3,3,2,3,3,3,3,2,3,3,1,1,3,,,,,,,,1,,,12,,,,,,,,,,2,2,1,1,2,2,4,4,4,18,0,10,,0,0,,,,,,,,,88,88,88,88,88,2,3,88,2,88,99,5,5,4,4,4,4,2,6,4,6,6,6,2,2,88,3,2,2,2,2,2,2,1,88,88,88,88,88,88,6,6,4,3,5,4,4,2,88,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2,4,3,2,1,2,40,27
25,860,1,2,7,1,0,0,0,0,0,3,3,2,3,3,3,99,3,1,3,1,1,1,2,,,,,1,,,,,,5,,4,6,4,5,1,4,2,8,4,4,2,2,4,2,1,1,4,45,40,10,70,26,25,20,80,50,50,40,30,60,40,3,3,4,4,3,3,3,3,4,4,3,5,5,5,5,5,5,2,5,3,5,3,4,4,3,2,3,2,3,3,2,5,4,2,5,5,4,5,5,4,88,4,6,3,5,4,4,4,4,2,3,2,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,1,1,31,28
26,254,1,2,6,2,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,1,1,1,1,1,1,1,5,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,88,88,88,88,88,88,5,5,5,1,5,1,5,1,5,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,1,2,55,23
27,608,1,4,1,10,1,0,0,0,0,3,3,2,2,3,3,3,3,1,2,2,1,2,3,1,,,,,,,,,1,12,,7,5,1,6,0,2,0,0,3,3,1,1,2,3,3,2,4,61,0,0,57,0,0,0,35,57,40,62,45,53,23,2,3,5,2,2,4,4,3,6,5,4,4,4,4,4,4,4,2,2,5,3,4,3,1,2,5,2,2,2,3,3,5,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,4,3,2,2,2,4,3,3,2,,,,,,,,,,,,,,,,,,,1,1,28,12
28,587,1,4,1,11,0,0,0,0,0,3,3,88,3,3,3,3,2,88,2,99,2,2,3,1,,,,,,,,,1,10,,7,8,,6,8,,,,4,3,2,3,3,3,3,3,4,,,,,,,,,,,,,,,6,2,4,3,5,4,2,4,6,4,6,2,4,3,4,4,5,4,,,,,,88,2,3,1,3,2,88,88,5,2,2,5,2,4,4,6,5,1,3,4,3,5,2,2,2,3,3,4,5,4,5,3,2,4,5,,,,,,,,,,,,,,,,,,,1,1,53,29
29,257,1,5,1,8,0,0,1,1,0,3,3,3,3,3,3,3,1,2,3,2,3,3,3,1,,,,,,,,,1,1,,6,5,5,5,5,5,5,5,4,3,3,4,2,2,2,3,3,49,50,56,22,62,48,48,50,50,50,30,72,50,50,4,2,3,3,3,2,3,3,4,3,3,3,3,2,3,6,2,3,4,4,3,4,3,3,3,4,4,3,88,5,3,3,2,3,2,4,4,3,2,5,3,2,3,3,3,4,5,2,1,,,,,,,,,,,,,,,,,,,5,2,2,4,3,4,3,3,5,1,1,46,23
30,401,1,4,1,4,0,0,0,0,0,3,3,2,3,3,3,3,3,1,3,3,3,3,3,1,,,,,,,,,1,12,,5,6,5,4,2,6,5,,3,2,2,2,3,2,2,3,4,40,50,25,50,50,50,50,67,65,69,50,50,50,50,3,4,4,4,4,4,3,3,5,4,4,4,4,5,5,4,4,2,3,4,4,4,5,3,4,4,4,4,5,3,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,3,4,3,3,,,,,,,,,,2,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,31,23
31,969,1,4,1,6,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,2,2,1,3,,,,,,,1,,,,6,,2,3,3,,4,6,4,7,4,4,2,3,4,4,3,4,4,30,65,60,40,60,40,35,60,60,60,40,50,,60,4,5,5,4,4,4,4,3,6,6,5,4,4,3,4,4,3,2,3,5,3,4,3,4,4,4,4,4,4,4,3,5,5,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,1,2,2,3,2,3,2,2,1,1,1,27,14
32,279,1,4,7,6,0,0,0,0,2,2,3,2,2,3,2,3,1,2,2,2,2,3,2,,,,,,1,,,,,2,,5,5,5,5,5,5,5,5,3,2,3,2,3,2,3,3,2,49,50,52,50,50,50,50,50,50,50,46,59,50,50,5,5,6,5,5,5,5,6,5,5,6,5,5,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,4,5,4,5,5,4,4,5,4,5,5,5,4,5,5,5,2,2,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,,,1,1,64,22
33,225,1,3,7,7,0,0,0,0,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,1,,3,5,4,4,6,8,3,7,4,3,5,4,4,4,4,3,4,87,29,43,42,39,55,38,56,64,63,39,40,59,46,5,3,2,5,2,2,3,6,2,2,2,3,1,5,2,4,2,2,5,3,5,5,5,2,3,5,4,1,4,3,3,3,4,5,1,5,3,3,1,4,4,5,5,5,4,3,4,5,6,,,,,,,,,,,,,,,,,,,4,5,5,4,5,5,5,6,5,1,1,49,40
34,1021,1,4,2,99,99,99,0,0,99,3,99,88,88,99,99,88,88,2,2,2,1,99,1,,1,,,1,,,,,,1,,6,6,3,1,0,6,2,0,2,1,1,2,5,2,1,1,4,68,33,0,8,56,61,0,53,57,56,64,12,24,18,4,4,4,4,3,4,4,1,5,4,4,3,4,3,3,4,4,2,6,6,5,5,5,3,4,4,4,3,4,3,1,6,4,4,2,4,3,2,4,2,6,6,5,6,6,5,6,6,4,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,67,5
35,367,1,2,1,8,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,,,,,,,,,12,,,,,,,,,,3,4,3,4,4,3,3,1,3,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,5,5,5,,,,7,,3,4,4,3,4,3,1,3,2,4,3,1,1,2,3,2,2,3,3,1,3,2,1,2,4,3,,,,,,,,,,,,,,,,,,,3,1,5,3,5,5,1,2,5,1,1,41,12
36,778,1,3,7,5,0,0,0,0,3,3,3,3,2,3,3,3,3,3,3,3,3,88,3,,,,,,,,1,,,5,,5,7,4,2,5,8,7,4,3,3,1,1,1,3,2,2,4,36,30,37,64,33,20,36,37,66,70,33,67,48,29,3,2,4,3,2,4,4,1,5,4,5,3,4,3,3,4,3,2,3,5,5,5,5,2,2,4,3,3,4,3,1,5,5,5,3,3,3,3,4,3,4,5,6,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,4,2,4,3,2,3,5,3,3,1,2,62,28
37,429,1,2,6,2,0,0,0,0,0,3,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,1,,,88,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,5,4,4,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,4,4,4,3,4,3,4,2,3,,,,,,,,,,1,2,28,4
38,810,1,4,10,3,0,0,0,0,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,,,,,,,,1,,,1,,7,8,4,6,2,6,5,4,3,2,3,2,1,2,2,1,4,71,44,22,55,55,57,36,55,56,59,56,45,44,53,4,4,3,3,3,4,4,3,5,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,4,4,3,5,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,1,1,71,23
39,424,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,1,,99,,,,,,,,,,99,99,99,99,99,99,99,99,99,,,,,,,,,,61,,,,,99,99,99,99,99,99,99,99,88,99,99,99,99,99,99,88,99,99,,5,,,,99,99,88,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,88,99,99,99,99,99,99,,,,,,,,,,7,7,7,7,7,7,7,7,6,,,,,,,,,,1,1,65,23
40,735,1,2,6,5,0,0,0,0,2,3,3,3,1,1,3,2,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,3,7,7,,2,4,2,2,2,2,3,2,4,30,50,50,50,35,34,,,,,,,,,3,3,3,3,4,3,4,3,5,4,4,4,4,4,4,4,4,2,5,5,5,4,5,3,3,3,3,4,3,3,3,5,4,4,4,4,4,4,4,4,3,4,5,3,5,3,4,4,3,2,2,2,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,1,1,68,10
41,542,1,2,8,1,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,88,88,99,88,88,88,4,88,4,,,,,,,,,,,,,,,3,88,88,88,88,88,88,3,6,4,88,88,4,3,88,4,88,5,,,,,,88,88,88,88,88,88,88,88,6,4,88,88,88,88,88,88,88,4,4,4,3,3,3,4,4,3,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,2,67,13
42,173,1,5,1,9,0,0,0,0,0,3,2,1,2,2,2,3,1,1,88,1,1,1,88,1,,,,,,,,,1,1,,8,4,6,8,4,3,6,2,4,5,3,3,1,2,3,2,2,60,54,41,49,83,30,18,27,68,23,69,12,10,21,3,5,5,1,3,99,5,6,4,5,88,2,1,88,3,3,3,2,3,5,1,5,1,2,3,3,6,1,4,3,2,3,4,4,2,1,3,4,1,4,3,4,6,3,3,88,88,4,6,,,,,,,,,,3,1,4,3,2,1,4,1,1,,,,,,,,,,1,1,29,37
43,255,1,5,11,5,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,1,1,3,,,,,,,,1,,,5,,8,9,2,9,1,6,1,3,88,4,3,2,5,2,4,4,4,50,50,50,50,50,50,50,0,66,50,77,25,50,50,5,6,5,6,5,3,4,5,5,4,3,6,88,5,4,3,5,2,,,,,,6,4,4,6,4,4,3,5,5,4,88,5,3,6,6,4,88,88,5,6,5,3,5,6,4,3,5,6,5,5,5,7,6,5,6,,,,,,,,,,,,,,,,,,,1,1,36,25
44,244,1,4,1,3,2,0,0,0,0,3,3,2,3,3,3,3,3,1,2,3,3,3,3,1,,,,,,,,,1,12,,,,,,,,,,4,3,3,4,2,3,3,2,4,,,,,,,,,,,,,,,2,4,3,3,4,2,2,2,3,3,3,4,6,2,1,2,4,2,,,,,,3,3,4,3,3,4,4,5,6,6,6,2,2,2,3,2,3,4,3,6,4,4,1,3,2,5,,,,,,,,,,1,1,4,2,2,6,2,1,4,,,,,,,,,,1,2,36,13
45,213,1,4,9,9,0,0,0,0,0,2,99,88,88,88,99,99,88,3,88,99,99,88,99,,,,,1,,,,,,1,,7,7,6,6,8,7,6,7,3,3,4,4,4,4,4,4,4,62,64,61,71,78,74,69,76,63,71,61,69,71,67,6,5,4,3,4,5,6,5,6,4,88,3,3,4,3,2,5,2,5,5,5,5,3,5,6,4,4,6,6,5,4,5,5,5,5,4,4,4,3,4,5,5,6,5,4,3,3,6,5,5,5,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,1,1,20,12
